EPA Region,State,# of Majors in ICIS-NPDES,# of Non-Majors in ICIS-NPDES,# of Majors w/ Pollutant Loadings,# of Non-Majors w/ Pollutant Loadings,% of Majors w/ Pollutant Loadings,% of Non-Majors w/ Pollutant Loadings,Total Pollutant Pounds (lb/yr) for Majors,Total Pollutant Pounds (lb/yr) for Non-Majors,Total Toxic-Weighted Pounds (lb-eq/yr) for Majors,Total Toxic-Weighted Pounds (lb-eq/yr) for Non-Majors
6,NEW MEXICO,38,111,38,106,100,95.4954955,38773602.17,11659498.58,10826.5177,61294.37776
2,NEW YORK,328,1261,325,1093,99.08536585,86.67724029,968259486.2,320966111.3,1592695.487,139933.0074
4,NORTH CAROLINA,228,1258,219,930,96.05263158,73.92686804,81405193605,49162817.29,3250247877,10484.44904
8,NORTH DAKOTA,25,79,25,25,100,31.64556962,80284385.84,0,140536.0003,0
5,OHIO,295,3115,295,2979,100,95.63402889,3747010441,1916408057,1073727.287,133998.8554
6,OKLAHOMA,104,388,104,385,100,99.22680412,221811838.1,293449606.6,38502.48974,10058.0413
10,OREGON,74,296,66,177,89.18918919,59.7972973,81017818.89,28401.97085,74211.77633,497.7397785
3,PENNSYLVANIA,409,4074,400,555,97.799511,13.62297496,1752998080,74348491.5,223999730.1,22429.83222
2,PUERTO RICO,85,174,85,171,100,98.27586207,1345941655,140772995.5,333456.4713,568008.7037
1,RHODE ISLAND,25,67,25,60,100,89.55223881,25634980.06,19412639.88,113861.8573,9536.577557
4,SOUTH CAROLINA,168,305,164,294,97.61904762,96.39344262,91891091.63,4487730.646,148573.2961,3726.628702
8,SOUTH DAKOTA,24,289,24,272,100,94.11764706,16093560.5,42162038.09,6017.864351,1017.405729
4,TENNESSEE,163,1091,160,574,98.1595092,52.61228231,921900591.2,475460247,5064408.353,169048.3642
6,TEXAS,722,2248,706,2064,97.78393352,91.81494662,787135739.1,4697479251,1136268.77,1555350.351
8,UTAH,41,138,40,89,97.56097561,64.49275362,475050831.9,295336244.2,2335506.433,6794.747997
1,VERMONT,34,141,34,118,100,83.68794326,19816764.13,1070462.261,18572.77187,2614.539798
2,VIRGIN ISLANDS,8,68,8,64,100,94.11764706,41861169.58,30621856.86,1756.042585,13593.46636
3,VIRGINIA,144,829,126,185,87.5,22.31604343,824337234.2,623507.9705,18390.70028,2301.039102
10,WASHINGTON,77,401,58,249,75.32467532,62.09476309,51258539.72,8603780.182,106736.9874,24307.30659
3,WEST VIRGINIA,94,1365,94,1250,100,91.57509158,1095543884,1083624781,1667606.791,7206583914
5,WISCONSIN,130,937,130,445,100,47.49199573,167946225.5,104738.0289,56472.5994,33.42997395
8,WYOMING,22,771,22,699,100,90.6614786,17076727.61,3333766281,3284.567224,1782382.893
